Vendor Name,Vendor Type,Business Purpose,SavvyFi Information,Information Classification,Risk Rating,Information Security Review,Current,Notes,Contact Information,Review Date,Type Review,Vendor Technical Contact,Responsible Team,Administration Portal Link,SavvyFi App Dependency,Integration Type,Administration Responsibilities,Administration Notes
Okta,Integrated Service Provider,Provides identity and access management including SSO and MFA for staff and application users.,Staff and Customer Identity,Confidential,4,Annual,Yes,"250115 - Reviewed SOC2 Type II, no exceptions noted.",https://trust.okta.com/,1/15/2025,SOC2,support@okta.com,Development,https://admin.okta.com,Yes - Integration,"REST API, SAML, OIDC",User provisioning and SSO configuration,Portal manages SSO app integrations and MFA policies.
AWS,Platform Provider,"Hosts production cloud infrastructure including compute, storage, databases, and serverless functions.",Customer Financial and IP,Confidential,4,Annual,No,"250722 - Waiting on updated SOC2 report, expected Q4.",https://aws.amazon.com/compliance/,7/1/2024,SOC2,None,Development,https://console.aws.amazon.com,Yes - Hosting,-,Infrastructure management and cost monitoring,
Stripe,Integrated Service Provider,Processes payment transactions for subscription billing and one-time payments.,Customer Financial,Confidential,4,Annual,Yes,"250210 - SOC2 Type II and PCI DSS reviewed, no concerns.",https://stripe.com/docs/security,2/10/2025,"SOC2, PCI DSS",support@stripe.com,Development,https://dashboard.stripe.com,Yes - Integration,"REST API, Webhooks",Payment configuration and refund processing,Dashboard used for transaction monitoring and dispute management.
Twilio,Integrated Service Provider,Provides SMS and voice notification services for user alerts and two-factor authentication.,Customer Phone Numbers,Confidential,3,BiAnnual,Yes,"250318 - Reviewed SOC2, no significant issues.",https://www.twilio.com/security,3/18/2025,SOC2,None,Development,https://console.twilio.com,Yes - Integration,REST API,Phone number management and messaging templates,
Datadog,Service Provider,Provides application performance monitoring and log management for production systems.,Infrastructure Telemetry,Private,2,No,N/A,,,,,None,Development,https://app.datadoghq.com,Yes - Integration,Client-side agent and REST API,,
Jira,Service Provider,Project management and issue tracking for development and security operations.,Project and Task Data,Private,2,No,N/A,,,,,None,Development,https://savvyfi.atlassian.net,No,,,
Confluence,Service Provider,Documentation and knowledge base for internal policies and procedures.,Internal Documentation,Private,2,No,N/A,,,,,None,Development,https://savvyfi.atlassian.net/wiki,No,,,
Cloudflare,Integrated Service Provider,Provides CDN and DDoS protection for web application and API endpoints.,Network Traffic Metadata,Private,3,BiAnnual,Yes,"250420 - SOC2 reviewed, no concerns. Also ISO 27001 certified.",https://www.cloudflare.com/trust-hub/,4/20/2025,SOC2,None,Development,https://dash.cloudflare.com,Yes - Integration,DNS and proxy configuration,WAF rule management and DNS configuration,Portal manages DNS records and WAF/firewall rules.
Zendesk,Service Provider,Customer support ticketing and help desk platform.,Customer Support Interactions,Confidential,3,BiAnnual,No,"250307 - Submitted SOC2 request via trust center.
250414 - Reviewed, minor observations but no critical issues.",https://www.zendesk.com/trust-center/,4/14/2025,SOC2,None,Support,https://savvyfi.zendesk.com,No,-,Ticket routing and macro management,
GitHub,Platform Provider,Source code repository and CI/CD pipeline management for application development.,Source Code and IP,Confidential,4,Annual,Yes,"250120 - SOC2 Type II reviewed, no exceptions.",https://github.com/security,1/20/2025,SOC2,None,Development,https://github.com/savvyfi,Yes - Hosting,-,,
MongoDB Atlas,Platform Provider,Managed database service hosting production application data.,Customer Financial and PII,Confidential,4,Annual,Yes,"250205 - SOC2 and ISO 27001 reviewed, no concerns.",https://www.mongodb.com/cloud/trust,2/5/2025,"SOC2, ISO 27001",None,Development,https://cloud.mongodb.com,Yes - Hosting,-,Database cluster management,Portal used for scaling and backup configuration.
PagerDuty,Service Provider,Incident alerting and on-call management for production incidents.,Staff Contact Information,Private,2,No,N/A,,,,,None,Development,https://savvyfi.pagerduty.com,No,-,,
Google Workspace,Workplace Service Provider,"Provides email, calendar, and document collaboration for the organization.",Customer Financial and Backoffice,Confidential,4,Annual,No,"250722 - Waiting on updated report, expected Q4.",https://workspace.google.com/security/,7/24/2024,SOC2,None,IT Admin,https://admin.google.com,No,-,,
Zoom,Workplace Service Provider,Video conferencing for internal meetings and customer calls.,Meeting Recordings,Private,2,No,N/A,,,,,None,IT Admin,https://zoom.us,No,-,,
SonarQube,Service Provider,Static code analysis and code quality scanning for application security.,Source Code Analysis,Private,2,No,N/A,,,,,None,Development,https://sonarcloud.io,Yes - Integration,CI/CD plugin,,
CircleCI,Platform Provider,Continuous integration and deployment pipeline for application builds.,Source Code and Build Artifacts,Confidential,3,BiAnnual,Yes,"250515 - SOC2 reviewed, no significant findings.",https://circleci.com/security/,5/15/2025,SOC2,None,Development,https://app.circleci.com,Yes - Integration,CI/CD webhooks,,
Intercom,Integrated Service Provider,In-app messaging and customer engagement platform.,Customer Communications,Confidential,3,BiAnnual,No,"250307 - Requested SOC2 access from trust center.
250401 - Still pending response, sent follow-up.",https://www.intercom.com/security,,,None,Product,https://app.intercom.com,Yes - Integration,"Client-side script, REST API",Chatbot configuration and message templates,
Amplitude,Analytics Service Provider,Product analytics and user behavior tracking for application optimization.,Usage Analytics,Private,2,No,N/A,,,,,None,Product,https://analytics.amplitude.com,Yes - Client Script,Client-side SDK,,
LastPass,Service Provider,Enterprise password management for staff credentials.,Staff Credentials,Confidential,3,BiAnnual,Yes,"250601 - SOC2 reviewed. Noted prior breach history but current controls adequate.",https://www.lastpass.com/security,6/1/2025,SOC2,None,IT Admin,https://admin.lastpass.com,No,-,User provisioning and policy configuration,
