Policy Name,Policy ID,Description,Policy URL,Category,Compliance Framework,Review Frequency,Status,Last Reviewed,Next Review,Effective Date,Version,Owner,Approver,Notes
Information Security Policy,POL-001,"Establishes the organization's overall approach to information security, roles, responsibilities, and commitment to protecting information assets.",https://example.com/policies/infosec-policy,Information Security,NIST CSF 2.0,Annual,Current,2025-01-15,2026-01-15,2024-01-15,2.0,CISO,CEO,"Aligns to NIST CSF 2.0 GV.OC-01, GV.OC-03. Foundation policy for the security program."
Organizational Risk Management Policy,POL-002,"Defines the framework for identifying, assessing, and managing cybersecurity risks across the organization.",https://example.com/policies/risk-mgmt,Information Security,NIST CSF 2.0,Annual,Current,2025-02-10,2026-02-10,2024-02-10,1.2,CISO,CEO,"Aligns to GV.RM-01 through GV.RM-07. Includes risk appetite and tolerance statements."
Supply Chain Risk Management Policy,POL-003,"Establishes requirements for managing cybersecurity risks in the supply chain including vendor assessments and third-party oversight.",https://example.com/policies/supply-chain,Vendor Management,NIST CSF 2.0,Annual,Current,2025-03-01,2026-03-01,2024-06-01,1.1,CISO,COO,"Aligns to GV.SC-01 through GV.SC-10. Covers vendor onboarding, monitoring, and offboarding."
Asset Management Policy,POL-004,"Defines requirements for identifying, inventorying, and managing hardware, software, and data assets throughout their lifecycle.",https://example.com/policies/asset-mgmt,Information Security,NIST CSF 2.0,Annual,Current,2025-01-20,2026-01-20,2024-03-01,1.3,IT Director,CISO,"Aligns to ID.AM-01 through ID.AM-08. Includes asset classification and ownership requirements."
Access Control Policy,POL-005,"Establishes requirements for managing logical and physical access to organizational systems, networks, and data.",https://example.com/policies/access-control,Access Control,NIST CSF 2.0,BiAnnual,Current,2025-06-15,2025-12-15,2024-01-01,2.1,IT Director,CISO,"Aligns to PR.AA-01 through PR.AA-06. Covers identity management, authentication, and access provisioning."
Data Classification and Handling Policy,POL-006,"Defines data classification levels and handling requirements for information at each level including storage, transmission, and disposal.",https://example.com/policies/data-classification,Data Classification,NIST CSF 2.0,Annual,Current,2025-04-01,2026-04-01,2024-04-01,1.0,CISO,CEO,"Aligns to PR.DS-01, PR.DS-02, PR.DS-10. Covers Confidential, Private, and Public classifications."
Security Awareness and Training Policy,POL-007,"Establishes requirements for cybersecurity awareness training for all staff, role-based training, and ongoing security education.",https://example.com/policies/security-training,Human Resources,NIST CSF 2.0,Annual,Current,2025-05-01,2026-05-01,2024-05-01,1.1,HR Director,CISO,"Aligns to PR.AT-01, PR.AT-02. Includes phishing simulation requirements and new hire training."
Platform Security Policy,POL-008,"Defines security requirements for infrastructure, network architecture, endpoint protection, and secure configuration of technology platforms.",https://example.com/policies/platform-security,Information Security,NIST CSF 2.0,BiAnnual,Due Soon,2025-04-10,2025-10-10,2024-04-10,1.4,IT Director,CISO,"Aligns to PR.PS-01 through PR.PS-06. Covers patch management, hardening standards, and network segmentation."
Technology Resilience Policy,POL-009,"Establishes requirements for backup, recovery, and continuity of technology services to maintain operational resilience.",https://example.com/policies/tech-resilience,Business Continuity,NIST CSF 2.0,Annual,Current,2025-06-01,2026-06-01,2024-06-01,1.0,IT Director,COO,"Aligns to PR.IR-01, PR.IR-02. Covers backup verification, disaster recovery testing, and recovery time objectives."
Continuous Monitoring Policy,POL-010,"Defines requirements for ongoing monitoring of networks, systems, and assets to detect cybersecurity events and anomalies.",https://example.com/policies/monitoring,Information Security,NIST CSF 2.0,Annual,Current,2025-03-15,2026-03-15,2024-07-01,1.2,CISO,CEO,"Aligns to DE.CM-01 through DE.CM-09. Covers SIEM, log management, and network monitoring requirements."
